Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,4060.000000,4300.000000,4010.000000,4290.000000,4180.166992,61479800
2020-04-07,4490.000000,4650.000000,4120.000000,4310.000000,4199.654785,81628300
2020-04-08,4200.000000,4240.000000,4010.000000,4010.000000,3907.335693,61532700
2020-04-09,4100.000000,4150.000000,3870.000000,3990.000000,3887.847656,36659600
2020-04-13,4000.000000,4070.000000,3900.000000,3990.000000,3887.847656,20521300
2020-04-14,4000.000000,4190.000000,4000.000000,4150.000000,4043.751465,28841600
2020-04-15,4160.000000,4230.000000,3990.000000,4200.000000,4092.471436,37601800
2020-04-16,4100.000000,4100.000000,3950.000000,3980.000000,3878.103516,46381900
2020-04-17,4070.000000,4170.000000,4070.000000,4160.000000,4053.495361,44520700
2020-04-20,4170.000000,4240.000000,4070.000000,4100.000000,3995.031250,34882800
2020-04-21,4080.000000,4100.000000,3990.000000,4030.000000,3926.823486,20857600
2020-04-22,3970.000000,4070.000000,3900.000000,4020.000000,3917.079590,52828200
2020-04-23,4050.000000,4070.000000,3990.000000,4020.000000,3917.079590,38191400
2020-04-24,4020.000000,4020.000000,3780.000000,3800.000000,3702.712158,50322500
2020-04-27,3870.000000,3920.000000,3750.000000,3800.000000,3702.712158,34305100
2020-04-28,3820.000000,3830.000000,3750.000000,3820.000000,3722.199951,34998800
2020-04-29,3850.000000,3850.000000,3750.000000,3760.000000,3663.736084,32628800
2020-04-30,3820.000000,4100.000000,3800.000000,4100.000000,3995.031250,63194600
2020-05-04,4000.000000,4000.000000,3870.000000,3920.000000,3819.639893,33125800
2020-05-05,3960.000000,4030.000000,3780.000000,3840.000000,3741.687744,54280100
2020-05-06,3850.000000,3890.000000,3820.000000,3830.000000,3731.943848,41255900
2020-05-08,3850.000000,3870.000000,3790.000000,3800.000000,3702.712158,45523000
2020-05-11,3860.000000,3860.000000,3800.000000,3800.000000,3702.712158,40350800
2020-05-12,3820.000000,3820.000000,3650.000000,3660.000000,3566.296387,82388200
2020-05-13,3640.000000,3740.000000,3580.000000,3720.000000,3624.760010,39007300
2020-05-14,3670.000000,3740.000000,3510.000000,3540.000000,3449.368652,47306600
2020-05-15,3570.000000,3590.000000,3300.000000,3340.000000,3254.488770,86958200
2020-05-18,3380.000000,3410.000000,3270.000000,3330.000000,3244.745117,41810400
2020-05-19,3400.000000,3580.000000,3380.000000,3520.000000,3429.880615,77081500
2020-05-20,3570.000000,3640.000000,3420.000000,3600.000000,3507.832275,74301500
2020-05-26,3660.000000,3660.000000,3580.000000,3630.000000,3537.064453,44453400
2020-05-27,3640.000000,3700.000000,3580.000000,3630.000000,3537.064453,64238200
2020-05-28,3640.000000,3790.000000,3630.000000,3660.000000,3566.296387,116831000
2020-05-29,3660.000000,3860.000000,3590.000000,3830.000000,3731.943848,147057800
2020-06-02,3900.000000,4040.000000,3850.000000,3970.000000,3868.359619,131582200
2020-06-03,4020.000000,4190.000000,3880.000000,4130.000000,4024.263428,138504300
2020-06-04,4200.000000,4360.000000,4110.000000,4140.000000,4034.007324,113520800
2020-06-05,4200.000000,4290.000000,4030.000000,4250.000000,4141.190918,72690400
2020-06-08,4350.000000,4940.000000,4340.000000,4830.000000,4706.341797,155723800
2020-06-09,4900.000000,5150.000000,4850.000000,4860.000000,4735.573730,142855100
2020-06-10,4850.000000,4850.000000,4520.000000,4520.000000,4404.278320,151784400
2020-06-11,4510.000000,4510.000000,4210.000000,4210.000000,4102.215332,222042700
2020-06-12,4210.000000,4470.000000,3940.000000,4470.000000,4355.558594,199783700
2020-06-15,4480.000000,4500.000000,4180.000000,4200.000000,4092.471436,116652300
2020-06-16,4350.000000,4610.000000,4350.000000,4610.000000,4491.974121,131648800
2020-06-17,4680.000000,4750.000000,4510.000000,4550.000000,4433.510254,93134000
2020-06-18,4500.000000,4570.000000,4430.000000,4500.000000,4384.790527,52063500
2020-06-19,4550.000000,4570.000000,4450.000000,4480.000000,4365.302734,41239200
2020-06-22,4480.000000,4510.000000,4440.000000,4470.000000,4355.558594,25503400
2020-06-23,4470.000000,4470.000000,4320.000000,4380.000000,4267.862793,41767200
2020-06-24,4410.000000,4780.000000,4410.000000,4740.000000,4618.645996,151060600
2020-06-25,4670.000000,4690.000000,4510.000000,4550.000000,4433.510254,117822200
2020-06-26,4650.000000,4690.000000,4550.000000,4580.000000,4462.742188,66800100
2020-06-29,4550.000000,4600.000000,4490.000000,4590.000000,4472.486328,34983700
2020-06-30,4670.000000,4700.000000,4550.000000,4580.000000,4462.742188,61765000
2020-07-01,4600.000000,4630.000000,4510.000000,4540.000000,4423.766113,37014300
2020-07-02,4540.000000,4600.000000,4540.000000,4590.000000,4472.486328,28618200
2020-07-03,4600.000000,4640.000000,4550.000000,4560.000000,4443.254395,23764000
2020-07-06,4590.000000,4640.000000,4580.000000,4610.000000,4491.974121,31018200
2020-07-07,4650.000000,4660.000000,4580.000000,4600.000000,4482.230469,41042200
2020-07-08,4600.000000,4830.000000,4580.000000,4800.000000,4677.109863,115288400
2020-07-09,4820.000000,4860.000000,4720.000000,4730.000000,4608.901855,58250600
2020-07-10,4700.000000,4730.000000,4650.000000,4670.000000,4550.438477,37653000
2020-07-13,4700.000000,4770.000000,4700.000000,4750.000000,4628.389648,35545900
2020-07-14,4750.000000,4780.000000,4700.000000,4720.000000,4599.158203,48056500
2020-07-15,4760.000000,4780.000000,4710.000000,4710.000000,4589.414551,42310000
2020-07-16,4710.000000,4740.000000,4680.000000,4700.000000,4579.670410,43047100
2020-07-17,4680.000000,4720.000000,4670.000000,4670.000000,4550.438477,18783500
2020-07-20,4690.000000,4690.000000,4510.000000,4540.000000,4423.766113,67696500
2020-07-21,4570.000000,4700.000000,4560.000000,4680.000000,4560.182129,60836400
2020-07-22,4700.000000,4750.000000,4660.000000,4670.000000,4550.438477,48427100
2020-07-23,4690.000000,4790.000000,4670.000000,4710.000000,4589.414551,76062300
2020-07-24,4710.000000,4710.000000,4590.000000,4610.000000,4491.974121,54602800
2020-07-27,4640.000000,4660.000000,4600.000000,4650.000000,4530.950195,27072000
2020-07-28,4660.000000,4710.000000,4650.000000,4680.000000,4560.182129,35239200
2020-07-29,4660.000000,4660.000000,4580.000000,4590.000000,4472.486328,64032700
2020-07-30,4610.000000,4630.000000,4570.000000,4600.000000,4482.230469,48400800
2020-08-03,4650.000000,4650.000000,4300.000000,4440.000000,4326.326660,73249100
2020-08-04,4470.000000,4560.000000,4450.000000,4560.000000,4443.254395,33204600
2020-08-05,4570.000000,4640.000000,4510.000000,4630.000000,4511.462402,41149900
2020-08-06,4650.000000,4670.000000,4630.000000,4640.000000,4521.206543,32255800
2020-08-07,4640.000000,4680.000000,4600.000000,4620.000000,4501.718262,28421200
2020-08-10,4620.000000,4640.000000,4610.000000,4620.000000,4501.718262,14825600
2020-08-11,4630.000000,4820.000000,4630.000000,4780.000000,4657.622070,96456100
2020-08-12,4800.000000,5200.000000,4760.000000,5125.000000,4993.789063,181198500
2020-08-13,5200.000000,5350.000000,5025.000000,5075.000000,4945.069336,87602500
2020-08-14,5075.000000,5100.000000,5000.000000,5000.000000,4871.989258,57145100
2020-08-18,5050.000000,5225.000000,5025.000000,5050.000000,4920.709473,101770600
2020-08-19,5075.000000,5200.000000,5000.000000,5050.000000,4920.709473,79545900
2020-08-24,5075.000000,5150.000000,5050.000000,5100.000000,4969.429199,52733400
2020-08-25,5150.000000,5350.000000,5150.000000,5275.000000,5139.949219,92771400
2020-08-26,5300.000000,5350.000000,5200.000000,5325.000000,5188.668945,72829900
2020-08-27,5325.000000,5425.000000,5250.000000,5300.000000,5164.308594,56667800
2020-08-28,5325.000000,5350.000000,5225.000000,5250.000000,5115.588867,41897900
2020-08-31,5300.000000,5325.000000,5000.000000,5100.000000,4969.429199,125960000
